ID,Education,Marital_Status,Income,Kidhome,Teenhome,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts
0,Graduation,Married,70951,0,0,239,10,554,254,87
1,Graduation,Single,57091,0,0,464,5,64,7,0
9,Master,Single,46098,1,1,57,0,27,0,0
13,PhD,Widow,25358,0,1,19,0,5,0,0
17,PhD,Married,60491,0,1,637,47,237,12,19
20,2n Cycle,Married,46891,0,1,43,12,23,29,15
22,Graduation,Divorced,46310,1,0,185,2,88,15,5
24,Master,Together,17144,1,1,18,2,19,0,2
25,Graduation,Married,65148,0,1,460,35,422,33,12
35,Graduation,Married,25545,1,0,32,1,64,16,12
48,Graduation,Together,55761,0,1,136,1,12,0,3
49,Graduation,Single,20587,1,0,2,3,6,4,1
55,Graduation,Together,56253,0,1,509,0,65,7,11
67,Master,Single,46423,1,1,68,0,16,0,0
73,PhD,Single,51411,1,2,14,0,3,0,0
75,2n Cycle,Together,41039,0,0,34,11,137,179,61
78,Graduation,Married,25293,1,0,15,0,11,0,2
87,2n Cycle,Married,27733,1,0,0,7,5,26,2
89,2n Cycle,Married,22212,1,0,5,9,20,6,8
92,Graduation,Alone,34176,1,0,5,7,24,19,14
113,Graduation,Married,30833,1,1,11,0,7,3,1
115,Master,Single,43456,0,1,275,11,68,25,7
123,Graduation,Widow,67046,0,1,544,35,133,23,151
125,2n Cycle,Together,53083,1,1,215,7,33,3,0
143,Graduation,Single,61209,0,0,466,0,224,119,49
146,PhD,Single,76045,0,0,760,53,400,17,93
153,Graduation,Divorced,23272,0,0,19,3,6,4,2
158,PhD,Together,71604,0,0,345,53,528,98,75
164,PhD,Married,28973,0,0,206,0,46,3,2
175,Graduation,Married,71952,1,0,656,80,455,52,107
176,2n Cycle,Single,67506,0,1,90,38,67,33,36
178,Graduation,Married,62503,0,1,478,0,193,110,75
182,PhD,Together,44124,0,1,284,0,55,0,6
193,Basic,Married,14421,0,0,0,0,2,3,3
194,Graduation,Married,48006,1,1,23,0,11,3,2
195,Graduation,Single,38808,1,0,125,17,52,3,19
199,Master,Single,45183,0,0,219,3,60,12,9
202,PhD,Widow,82032,0,0,332,194,377,149,125
203,Master,Single,81169,0,0,1288,20,613,80,61
213,PhD,Single,23091,1,1,35,0,11,0,0
217,Master,Single,64857,0,0,556,14,717,210,0
221,Graduation,Married,48726,0,1,138,3,38,4,0
231,Master,Together,28839,1,1,24,0,7,0,0
232,Graduation,Single,61559,0,1,279,83,88,32,14
234,Graduation,Divorced,15287,1,0,1,2,8,4,3
236,Graduation,Married,34838,1,1,28,23,29,29,14
238,2n Cycle,Together,67309,1,1,515,47,181,149,95
241,Graduation,Together,83844,0,0,901,31,345,75,31
246,Graduation,Married,66480,1,1,199,9,57,20,21
247,Graduation,Married,36715,1,0,172,10,125,21,13
252,PhD,Divorced,41003,0,0,123,133,142,71,44
254,Graduation,Together,53863,0,1,399,4,30,6,4
255,Graduation,Divorced,22263,1,1,17,0,2,0,0
257,PhD,Married,75032,0,1,952,12,180,47,12
263,PhD,Single,45576,0,0,56,19,29,2,14
269,PhD,Single,46757,0,1,777,30,163,0,51
271,Graduation,Widow,40590,1,1,154,0,50,6,11
273,Master,Married,36138,1,1,130,0,16,0,0
274,Graduation,Single,34853,1,1,9,3,15,2,3
286,Graduation,Single,44213,1,1,95,11,35,0,4
291,Graduation,Married,72940,0,0,182,74,298,162,149
295,Graduation,Single,81217,0,0,493,70,324,146,40
304,Master,Single,22944,1,0,19,3,19,4,5
309,PhD,Together,63342,0,1,918,21,118,13,10
310,Master,Married,61872,0,1,330,5,159,36,27
313,Graduation,Widow,73455,0,0,901,61,757,186,163
322,Graduation,Together,42554,1,1,29,1,11,0,0
326,Graduation,Married,51148,1,1,235,6,45,8,9
332,Graduation,Married,47743,0,1,198,2,43,0,12
339,PhD,Married,57091,0,1,462,0,24,6,0
340,Graduation,Divorced,72967,0,1,158,35,179,0,0
347,Graduation,Divorced,40780,0,1,229,27,71,13,3
359,Graduation,Together,48070,0,1,373,14,83,6,9
361,Master,Married,43142,1,1,5,1,7,2,1
367,2n Cycle,Married,36550,1,0,47,90,94,123,103
368,Graduation,Married,40049,0,1,91,65,52,10,44
375,Graduation,Divorced,76773,0,0,516,56,449,86,33
378,Graduation,Married,52531,0,0,283,112,151,51,72
380,Graduation,Divorced,64497,0,1,1170,48,320,42,32
387,Basic,Married,7500,0,0,6,16,11,11,1
405,Graduation,Divorced,41638,0,1,315,0,31,4,0
425,Graduation,Married,55357,2,0,374,64,116,84,25
433,Master,Alone,61331,1,1,534,5,47,0,5
437,Master,Divorced,75012,0,0,294,142,218,164,58
448,PhD,Single,54880,1,0,308,85,137,102,45
450,Master,Together,42315,0,1,67,15,80,17,11
451,Graduation,Single,9255,1,0,9,0,7,2,0
453,PhD,Widow,35340,1,1,27,0,12,0,1
454,Graduation,Together,69508,1,0,824,32,162,42,32
455,PhD,Married,51012,0,0,102,9,63,2,9
456,2n Cycle,Married,7500,1,0,1,11,5,4,6
460,PhD,Married,79930,0,0,792,86,740,67,51
466,Graduation,Married,65275,0,0,388,14,218,91,14
477,Graduation,Married,83512,0,0,1060,61,835,80,20
486,Graduation,Married,84219,0,0,434,137,400,45,137
492,PhD,YOLO,48432,0,1,322,3,50,4,3
498,Graduation,Single,30015,1,0,25,0,22,2,3
500,Graduation,Together,96876,0,0,908,43,735,40,194
503,Master,Married,20559,1,0,13,1,29,3,0
520,Graduation,Married,34421,1,0,3,3,7,6,2
521,Graduation,Together,54006,1,0,174,77,203,6,24
523,Graduation,Married,37155,1,0,23,0,26,7,15
524,Basic,Together,22634,0,0,2,23,11,8,6
528,Graduation,Married,65819,0,0,267,38,701,149,165
531,PhD,Divorced,57333,0,1,941,14,397,76,58
535,Graduation,Divorced,81361,0,0,163,23,424,27,65
538,Graduation,Single,46107,1,0,31,9,27,16,9
544,Graduation,Married,62820,0,0,398,61,265,138,61
550,Graduation,Divorced,62335,0,1,243,131,217,85,6
564,PhD,Together,56937,1,0,746,8,125,11,8
569,Graduation,Single,90273,0,0,704,129,853,120,74
574,Graduation,Married,42523,0,0,14,36,11,3,26
577,2n Cycle,Together,26907,1,1,9,1,7,0,3
590,Master,Divorced,78579,0,0,816,66,549,216,66
591,Graduation,Widow,66033,0,1,293,35,179,46,59
606,Graduation,Single,25930,1,1,6,1,2,2,0
607,2n Cycle,Divorced,41769,0,1,302,29,131,32,0
610,PhD,Together,53593,1,1,349,4,78,6,0
615,Graduation,Together,30507,0,0,65,36,74,38,20
618,PhD,Married,69389,0,1,422,7,238,69,46
624,Master,Single,18890,0,0,6,4,1,7,2
626,Graduation,Married,32871,1,1,22,2,12,0,2
635,Master,Married,57183,1,1,464,5,64,7,0
640,Graduation,Married,57304,0,1,356,80,329,138,17
641,Graduation,Single,52074,0,1,59,0,12,0,0
642,Basic,Married,16005,1,0,1,3,2,20,30
663,PhD,Single,33996,0,0,40,2,15,8,0
675,Master,Divorced,52034,1,1,146,0,93,7,13
679,PhD,Married,37633,1,1,13,4,20,0,0
692,Graduation,Together,36807,1,1,4,2,5,0,0
697,Graduation,Together,74918,0,0,972,59,913,25,19
701,Graduation,Married,73691,0,1,707,21,250,85,43
702,2n Cycle,Widow,47682,0,1,162,61,83,97,57
709,Graduation,Divorced,51537,0,1,787,20,204,0,0
713,Master,Married,50353,0,0,141,15,153,67,31
716,PhD,Together,67911,0,1,529,0,356,63,28
736,Graduation,Together,28427,1,0,18,3,19,3,3
737,PhD,Married,80360,0,0,1493,86,454,112,43
738,2n Cycle,Single,42395,1,1,48,13,57,24,15
749,Graduation,Together,42162,1,0,46,7,59,2,4
760,PhD,Divorced,60554,1,0,588,7,76,110,15
762,2n Cycle,Together,75774,1,0,340,21,134,258,14
771,Graduation,Together,54178,0,1,135,9,39,4,0
773,Master,Divorced,42835,1,1,379,4,93,12,9
793,Graduation,Married,20895,1,0,18,3,17,3,0
796,2n Cycle,Divorced,60161,0,1,584,44,212,46,8
798,Graduation,Single,23442,1,0,2,0,6,8,6
800,Graduation,Together,44512,1,1,23,1,6,0,0
803,Graduation,Together,40521,1,1,12,0,5,0,0
807,Master,Together,44602,1,1,167,2,89,0,0
810,Graduation,Married,74190,0,1,151,81,86,168,91
819,Graduation,Widow,63285,0,0,508,124,249,50,38
821,Master,Single,92859,0,0,962,61,921,52,61
830,PhD,Single,74004,0,0,784,48,560,42,176
832,PhD,Together,65814,0,1,561,14,113,10,14
833,Master,Married,38452,1,1,56,0,14,0,0
837,Graduation,Married,54809,1,1,63,6,57,13,13
839,PhD,Married,45503,1,0,97,4,44,6,1
843,Graduation,Married,64722,1,0,303,0,280,60,147
849,Master,Together,56129,0,1,320,48,133,39,72
850,Graduation,Single,70566,0,1,381,28,215,84,28
851,Master,Married,57136,1,1,306,5,109,21,109
868,Graduation,Married,44794,0,1,54,0,7,0,0
873,Master,Married,62845,1,1,1099,0,45,0,0
