date,apple,google
1/3/2017,116.15,808.01
1/4/2017,116.02,807.77
1/5/2017,116.61,813.02
1/6/2017,117.91,825.21
1/9/2017,118.99,827.18
1/10/2017,119.11,826.01
1/11/2017,119.75,829.86
1/12/2017,119.25,829.53
1/13/2017,119.04,830.94
1/17/2017,120,827.46
1/18/2017,119.99,829.02
1/19/2017,119.78,824.37
1/20/2017,120,828.17
1/23/2017,120.08,844.43
1/24/2017,119.97,849.53
1/25/2017,121.88,858.45
1/26/2017,121.94,856.98
1/27/2017,121.95,845.03
1/30/2017,121.63,823.83
1/31/2017,121.35,820.19
2/1/2017,128.75,815.24
2/2/2017,128.53,818.26
2/3/2017,129.08,820.13
2/6/2017,130.29,821.62
2/7/2017,131.53,829.23
2/8/2017,132.04,829.88
2/9/2017,132.42,830.06
2/10/2017,132.12,834.85
2/13/2017,133.29,838.96
2/14/2017,135.02,840.03
2/15/2017,135.51,837.32
2/16/2017,135.34,842.17
2/17/2017,135.72,846.55
2/21/2017,136.7,849.27
2/22/2017,137.11,851.36
2/23/2017,136.53,851
2/24/2017,136.66,847.81
2/27/2017,136.93,849.67
2/28/2017,136.99,844.93
3/1/2017,139.79,856.75
3/2/2017,138.96,849.85
3/3/2017,139.78,849.08
3/6/2017,139.34,847.27
3/7/2017,139.52,851.15
3/8/2017,139,853.64
3/9/2017,138.68,857.84
3/10/2017,139.14,861.4
3/13/2017,139.2,864.58
3/14/2017,138.99,865.91
3/15/2017,140.46,868.39
3/16/2017,140.69,870
3/17/2017,139.99,872.37
3/20/2017,141.46,867.91
3/21/2017,139.84,850.14
3/22/2017,141.42,849.8
3/23/2017,140.92,839.65
3/24/2017,140.64,835.14
3/27/2017,140.88,838.51
3/28/2017,143.8,840.63
3/29/2017,144.12,849.87
3/30/2017,143.93,849.48
3/31/2017,143.66,847.8
4/3/2017,143.7,856.75
4/4/2017,144.77,852.57
4/5/2017,144.02,848.91
4/6/2017,143.66,845.1
4/7/2017,143.34,842.1
4/10/2017,143.17,841.7
4/11/2017,141.63,839.88
4/12/2017,141.8,841.46
4/13/2017,141.05,840.18
4/17/2017,141.83,855.13
4/18/2017,141.2,853.99
4/19/2017,140.68,856.51
4/20/2017,142.44,860.08
4/21/2017,142.27,858.95
4/24/2017,143.64,878.93
4/25/2017,144.53,888.84
4/26/2017,143.68,889.14
4/27/2017,143.79,891.44
4/28/2017,143.65,924.52
5/1/2017,146.58,932.82
5/2/2017,147.51,937.09
5/3/2017,147.06,948.45
5/4/2017,146.53,954.72
5/5/2017,148.96,950.28
5/8/2017,153.01,958.69
5/9/2017,153.99,956.71
5/10/2017,153.26,954.84
5/11/2017,153.95,955.89
5/12/2017,156.1,955.14
5/15/2017,155.7,959.22
5/16/2017,155.47,964.61
5/17/2017,150.25,942.17
5/18/2017,152.54,950.5
5/19/2017,153.06,954.65
5/22/2017,153.99,964.07
5/23/2017,153.8,970.55
5/24/2017,153.34,977.61
5/25/2017,153.87,991.86
5/26/2017,153.61,993.27
5/30/2017,153.67,996.17
5/31/2017,152.76,987.09
6/1/2017,153.18,988.29
6/2/2017,155.45,996.12
6/5/2017,153.93,1003.88
6/6/2017,154.45,996.68
6/7/2017,155.37,1001.59
6/8/2017,154.99,1004.28
6/9/2017,148.98,970.12
6/12/2017,145.42,961.81
6/13/2017,146.59,970.5
6/14/2017,145.16,967.93
6/15/2017,144.29,960.18
6/16/2017,142.27,958.62
6/19/2017,146.34,975.22
6/20/2017,145.01,968.99
6/21/2017,145.87,978.59
6/22/2017,145.63,976.62
6/23/2017,146.28,986.09
6/26/2017,145.82,972.09
6/27/2017,143.73,948.09
6/28/2017,145.83,961.01
6/29/2017,143.68,937.82
6/30/2017,144.02,929.68
7/3/2017,143.5,919.46
7/5/2017,144.09,932.26
7/6/2017,142.73,927.69
7/7/2017,144.18,940.81
7/10/2017,145.06,951
7/11/2017,145.53,953.53
7/12/2017,145.74,967.66
7/13/2017,147.77,968.85
7/14/2017,149.04,976.91
7/17/2017,149.56,975.96
7/18/2017,150.08,986.95
7/19/2017,151.02,992.77
7/20/2017,150.34,992.19
7/21/2017,150.27,993.84
7/24/2017,152.09,998.31
7/25/2017,152.74,969.03
7/26/2017,153.46,965.31
7/27/2017,150.56,952.51
7/28/2017,149.5,958.33
7/31/2017,148.73,945.5
8/1/2017,150.05,946.56
8/2/2017,157.14,947.64
8/3/2017,155.57,940.3
8/4/2017,156.39,945.79
8/7/2017,158.81,945.75
8/8/2017,160.08,944.19
8/9/2017,161.06,940.08
8/10/2017,155.32,923.59
8/11/2017,157.48,930.09
8/14/2017,159.85,938.93
8/15/2017,161.6,938.08
8/16/2017,160.95,944.27
8/17/2017,157.86,927.66
8/18/2017,157.5,926.18
8/21/2017,157.21,920.87
8/22/2017,159.78,940.4
8/23/2017,159.98,942.58
8/24/2017,159.27,936.89
8/25/2017,159.86,930.5
8/28/2017,161.47,928.13
8/29/2017,162.91,935.75
8/30/2017,163.35,943.63
8/31/2017,164,955.24
9/1/2017,164.05,951.99
9/5/2017,162.08,941.48
9/6/2017,161.91,942.02
9/7/2017,161.26,949.89
9/8/2017,158.63,941.41
9/11/2017,161.5,943.29
9/12/2017,160.86,946.65
9/13/2017,159.65,950.44
9/14/2017,158.28,940.13
9/15/2017,159.88,935.29
9/18/2017,158.67,929.75
9/19/2017,158.73,936.86
9/20/2017,156.07,947.54
9/21/2017,153.39,947.55
9/22/2017,151.89,943.26
9/25/2017,150.55,934.28
9/26/2017,153.14,937.43
9/27/2017,154.23,959.9
9/28/2017,153.28,964.81
9/29/2017,154.12,973.72
10/2/2017,153.81,967.47
10/3/2017,154.48,972.08
10/4/2017,153.48,966.78
10/5/2017,155.39,985.19
10/6/2017,155.3,993.64
10/9/2017,155.84,992.31
10/10/2017,155.9,987.8
10/11/2017,156.55,1005.65
10/12/2017,156,1005.65
10/13/2017,156.99,1007.87
10/16/2017,159.88,1009.35
10/17/2017,160.47,1011
10/18/2017,159.76,1012.74
10/19/2017,155.98,1001.84
10/20/2017,156.25,1005.07
10/23/2017,156.17,985.54
10/24/2017,157.1,988.49
10/25/2017,156.41,991.46
10/26/2017,157.41,991.42
10/27/2017,163.05,1033.67
10/30/2017,166.72,1033.13
10/31/2017,169.04,1033.04
11/1/2017,166.89,1042.6
11/2/2017,168.11,1042.97
11/3/2017,172.5,1049.99
11/6/2017,174.25,1042.68
11/7/2017,174.81,1052.39
11/8/2017,176.24,1058.29
11/9/2017,175.88,1047.72
11/10/2017,174.67,1044.15
11/13/2017,173.97,1041.2
11/14/2017,171.34,1041.64
11/15/2017,169.08,1036.41
11/16/2017,171.1,1048.47
11/17/2017,170.15,1035.89
11/20/2017,169.98,1034.66
11/21/2017,173.14,1050.3
11/22/2017,174.96,1051.92
11/24/2017,174.97,1056.52
11/27/2017,174.09,1072.01
11/28/2017,173.07,1063.29
11/29/2017,169.48,1037.38
11/30/2017,171.85,1036.17
12/1/2017,171.05,1025.07
12/4/2017,169.8,1011.87
12/5/2017,169.64,1019.6
12/6/2017,169.01,1032.72
12/7/2017,169.32,1044.57
12/8/2017,169.37,1049.38
12/11/2017,172.67,1051.97
12/12/2017,171.7,1048.77
12/13/2017,172.27,1051.39
12/14/2017,172.22,1057.47
12/15/2017,173.97,1072
12/18/2017,176.42,1085.09
12/19/2017,174.54,1079.78
12/20/2017,174.35,1073.56
12/21/2017,175.01,1070.85
12/22/2017,175.01,1068.86
12/26/2017,170.57,1065.85
12/27/2017,170.6,1060.2
12/28/2017,171.08,1055.95
12/29/2017,169.23,1053.4
