,title,directedby,releasedate
0,Wings,William A. Wellman,"August 12, 1927 (1927-08-12) (New York City, premiere)"
1,The Broadway Melody,Harry Beaumont,None
2,All Quiet on the Western Front,Lewis Milestone,None
3,Cimarron,Wesley Ruggles,None
4,Grand Hotel,Edmund Goulding,None
5,Cavalcade,Frank Lloyd,None
6,It Happened One Night,Frank Capra,None
7,Mutiny on the Bounty,Frank Lloyd,None
8,The Great Ziegfeld,Robert Z. Leonard,None
9,The Life of Emile Zola,William Dieterle,None
10,You Can't Take It with You,Frank Capra,None
11,Gone with the Wind,Victor Fleming,221 minutes
12,Rebecca,Alfred Hitchcock,None
13,How Green Was My Valley,John Ford,None
14,Mrs. Miniver,William Wyler,None
15,Casablanca,Michael Curtiz,None
16,Going My Way,Leo McCarey,None
17,The Lost Weekend,Billy Wilder,"November 29, 1945 (1945-11-29)"
18,The Best Years of Our Lives,William Wyler,None
19,Gentleman's Agreement,Elia Kazan,None
20,Hamlet,Laurence Olivier,None
21,All the King's Men,Robert Rossen,"November 8, 1949 (1949-11-08) (NYC)"
22,All About Eve,Joseph L. Mankiewicz,None
23,An American in Paris,Vincente Minnelli,None
24,The Greatest Show on Earth,Cecil B. DeMille,None
25,From Here to Eternity,Fred Zinnemann,"August 5, 1953 (1953-08-05)"
26,On the Waterfront,Elia Kazan,"July 28, 1954 (1954-07-28)"
27,Marty,Delbert Mann,None
28,Around the World in 80 Days,Michael Anderson,None
29,The Bridge on the River Kwai,David Lean,None
30,Gigi,Vincente Minnelli,None
31,Ben-Hur,William Wyler,None
32,The Apartment,Billy Wilder,None
33,West Side Story,Robert Wise,None
34,Lawrence of Arabia,David Lean,None
35,Tom Jones,Tony Richardson,26 June 1963 (1963-06-26)
36,My Fair Lady,George Cukor,None
37,The Sound of Music,Robert Wise,"March 2, 1965 (1965-03-02) (United States)"
38,A Man for All Seasons,Fred Zinnemann,None
39,In the Heat of the Night,Norman Jewison,None
40,Oliver!,Carol Reed,None
41,Midnight Cowboy,John Schlesinger,None
42,Patton,Franklin J. Schaffner,None
43,The French Connection,William Friedkin,None
44,The Godfather,Francis Ford Coppola,None
45,The Sting,George Roy Hill,None
46,The Godfather Part II,Francis Ford Coppola,None
47,One Flew Over the Cuckoo's Nest,Miloš Forman,None
48,Rocky,John G. Avildsen,None
49,Annie Hall,Woody Allen,None
50,The Deer Hunter,Michael Cimino,None
51,Kramer vs. Kramer,Robert Benton,None
52,Ordinary People,Robert Redford,None
53,Chariots of Fire,Hugh Hudson,None
54,Gandhi,Richard Attenborough,United Kingdom
55,Terms of Endearment,James L. Brooks,None
56,Amadeus,Miloš Forman,None
57,Out of Africa,Sydney Pollack,None
58,Platoon,Oliver Stone,None
59,The Last Emperor,Bernardo Bertolucci,United Kingdom
60,Rain Man,Barry Levinson,None
61,Driving Miss Daisy,Bruce Beresford,None
62,Dances with Wolves,Kevin Costner,None
63,The Silence of the Lambs,Jonathan Demme,None
64,Unforgiven,Clint Eastwood,None
65,Schindler's List,Steven Spielberg,None
66,Forrest Gump,Robert Zemeckis,None
67,Braveheart,Mel Gibson,None
68,The English Patient,Anthony Minghella,None
69,Titanic,James Cameron,None
70,Shakespeare in Love,John Madden,United States[2]
71,American Beauty,Sam Mendes,None
72,Gladiator,Ridley Scott,None
73,A Beautiful Mind,Ron Howard,None
74,Chicago,Rob Marshall,None
75,The Lord of the Rings: The Return of the King,Peter Jackson,None
76,Million Dollar Baby,Clint Eastwood,"December 5, 2004 (2004-12-05) (New York)"
77,Crash,Paul Haggis,None
78,The Departed,Martin Scorsese,None
79,No Country for Old Men,Joel CoenEthan Coen,None
80,Slumdog Millionaire,Danny Boyle,None
81,The Hurt Locker,Kathryn Bigelow,None
82,The King's Speech,Tom Hooper,United Kingdom[5]
83,The Artist,Michel Hazanavicius,None
84,Argo,Ben Affleck,None
85,12 Years a Slave,Steve McQueen,None
86,Birdman,Alejandro González Iñárritu,None
87,Spotlight,Tom McCarthy,None
88,Moonlight,Barry Jenkins,None
89,The Shape of Water,Guillermo del Toro,None
90,Green Book,Peter Farrelly,None
91,Parasite,None,None
92,Nomadland,Chloé Zhao,None
93,CODA,Sian Heder,None
94,Everything Everywhere All at Once,Daniel KwanDaniel Scheinert,None
