length,name,ratings,releasedate
50,Ahsoka,8.0,(2023– )
50,One Piece,8.4,(2023– )
50,A Haunting in Venice,6.8,(2023)
50,Barbie,7.1,(I) (2023)
50,Elemental,7.0,(2023)
50,Talk to Me,7.2,(I) (2022)
50,Expend4bles,5.2,(2023)
50,Wilderness,6.3,(2023)
50,The Continental: From the World of John Wick,7.5,(2023)
50,Love at First Sight,6.9,(I) (2023)
50,Jawan,7.6,(2023)
50,Oppenheimer,8.6,(2023)
50,Blue Beetle,6.3,(2023)
50,Dear Child,7.4,(2023)
50,A Million Miles Away,7.4,(2023)
50,The Little Mermaid,7.2,(I) (2023)
50,The Nun II,5.9,(2023)
50,The Bear,8.6,(2022– )
50,Killers of the Flower Moon,,(2023)
50,No One Will Save You,6.4,(2023)
50,The Walking Dead: Daryl Dixon,8.1,(2023– )
50,The Hunger Games: The Ballad of Songbirds and Snakes,,(2023)
50,Special Ops: Lioness,7.7,(2023– )
50,Retribution,5.3,(I) (2023)
50,The Equalizer 3,7.1,(2023)
50,The Creator,7.9,(2023)
50,Teenage Mutant Ninja Turtles: Mutant Mayhem,7.3,(2023)
50,Aquaman and The Lost Kingdom,,(2023)
50,Winning Time: The Rise of the Lakers Dynasty,8.3,(2022–2023)
50,Dream Scenario,7.8,(2023)
50,Theater Camp,7.1,(2023)
50,Harlan Coben's Shelter,6.6,(2023– )
50,Who Is Erin Carter?,6.5,(2023)
50,No Hard Feelings,6.4,(2023)
50,Dumb Money,7.1,(2023)
50,You Are So Not Invited to My Bat Mitzvah,6.0,(2023)
50,Bottoms,7.2,(2023)
50,Saw X,9.0,(2023)
50,Poor Things,8.1,(2023)
50,X,6.6,(II) (2022)
50,John Wick: Chapter 4,7.8,(2023)
50,Spider-Man: Across the Spider-Verse,8.7,(2023)
50,Indiana Jones and the Dial of Destiny,6.7,(2023)
50,El Conde,6.5,(2023)
50,Five Nights at Freddy's,,(2023)
50,Jaane Jaan,7.1,(2023)
50,Sound of Freedom,7.8,(2023)
50,All of Us Strangers,5.9,(2023)
50,The Fall of the House of Usher,,(2023– )
50,Fast X,5.8,(2023)
